Date,Open,High,Low,Close,Volume
2026-05-06,0.2619,0.2738,0.26,0.267,173010919.0
2026-05-07,0.2669,0.2704,0.2596,0.2627,108901846.9
2026-05-08,0.2627,0.2788,0.2601,0.2734,97412467.0
2026-05-09,0.2735,0.2785,0.2695,0.2708,59998404.1
2026-05-10,0.2708,0.2887,0.2682,0.2824,140362484.8
2026-05-11,0.2824,0.2836,0.274,0.2804,96921131.2
2026-05-12,0.2803,0.2819,0.2672,0.2711,96913526.9
2026-05-13,0.2712,0.2777,0.2612,0.2648,110717180.0
2026-05-14,0.2648,0.2804,0.2623,0.2706,119669866.1
2026-05-15,0.2705,0.2729,0.2568,0.2616,102766482.9
2026-05-16,0.2615,0.2625,0.2521,0.2551,75171225.8
2026-05-17,0.255,0.2582,0.2452,0.2521,83123085.5
2026-05-18,0.2521,0.2531,0.2462,0.2516,113758097.6
2026-05-19,0.2517,0.2536,0.2471,0.2482,77865177.4
2026-05-20,0.2482,0.2515,0.2469,0.2492,83224293.5
2026-05-21,0.2492,0.2537,0.2458,0.2507,107153045.6
2026-05-22,0.2507,0.2546,0.241,0.2424,134704138.0
2026-05-23,0.2424,0.2508,0.2358,0.246,138898972.8
2026-05-24,0.2461,0.247,0.2385,0.2423,62248052.6
2026-05-25,0.2424,0.248,0.2404,0.2437,72533146.2
2026-05-26,0.2436,0.2473,0.2381,0.2401,109743048.8
2026-05-27,0.2401,0.2435,0.236,0.2372,105109761.0
2026-05-28,0.2372,0.2384,0.228,0.2349,138043214.0
2026-05-29,0.2349,0.2381,0.2298,0.2329,84015639.8
2026-05-30,0.233,0.2394,0.2327,0.236,81695154.5
2026-05-31,0.236,0.2388,0.2319,0.2357,63179398.1
2026-06-01,0.2357,0.2376,0.2254,0.2311,124301991.9
2026-06-02,0.2311,0.2313,0.2094,0.213,237914633.7
2026-06-03,0.213,0.2184,0.2001,0.2004,244854963.8
2026-06-04,0.2004,0.2019,0.1788,0.1798,379945840.7
2026-06-05,0.1798,0.1798,0.1544,0.1567,562584509.5
2026-06-06,0.1567,0.1624,0.1486,0.1573,331126153.3
2026-06-07,0.1574,0.1688,0.1568,0.1653,250738455.9
2026-06-08,0.1653,0.1745,0.16,0.1704,199922092.5
2026-06-09,0.1704,0.1711,0.1608,0.1653,163317888.8
2026-06-10,0.1653,0.1669,0.1582,0.1607,186140630.1
2026-06-11,0.1607,0.172,0.1607,0.1707,185526549.6
2026-06-12,0.1707,0.1744,0.1677,0.1697,169266472.6
2026-06-13,0.1697,0.1758,0.169,0.1718,105801601.8
2026-06-14,0.1718,0.1839,0.1654,0.183,152782397.3
2026-06-15,0.183,0.19,0.1768,0.1786,254858172.8
2026-06-16,0.1785,0.1814,0.1719,0.1724,151143548.1
2026-06-17,0.1723,0.175,0.1637,0.1669,217297432.8
2026-06-18,0.1669,0.1689,0.1598,0.1637,124026091.6
2026-06-19,0.1637,0.1651,0.1586,0.1621,86919770.1
2026-06-20,0.1621,0.1651,0.16,0.1633,72279077.3
2026-06-21,0.1633,0.1636,0.1563,0.1566,84784925.6
2026-06-22,0.1566,0.1633,0.1566,0.1585,100861666.0
2026-06-23,0.1586,0.1601,0.1493,0.1515,191411271.0
2026-06-24,0.1514,0.1544,0.1396,0.1477,285453351.7
2026-06-25,0.1477,0.1508,0.1382,0.1438,174022332.4
2026-06-26,0.1438,0.15,0.1385,0.1484,179752809.3
2026-06-27,0.1485,0.1497,0.1438,0.1453,89605280.0
2026-06-28,0.1453,0.1465,0.1412,0.1438,61450828.9
2026-06-29,0.1438,0.1488,0.1419,0.1458,104875332.8
2026-06-30,0.1458,0.1465,0.1421,0.1444,105845079.5
2026-07-01,0.1444,0.1581,0.142,0.1539,256945856.8
2026-07-02,0.1539,0.163,0.1526,0.1615,165035273.1
2026-07-03,0.1615,0.1832,0.1606,0.1798,302728087.5
2026-07-04,0.1798,0.2,0.175,0.1922,323370292.9
2026-07-05,0.1921,0.1952,0.1851,0.1895,190180056.5
2026-07-06,0.1895,0.1907,0.178,0.1842,158305563.6
2026-07-07,0.1842,0.1852,0.1733,0.1746,119132646.7
2026-07-08,0.1747,0.1763,0.1647,0.1671,124369178.7
2026-07-09,0.1671,0.17,0.165,0.1666,119324646.8
2026-07-10,0.1665,0.1698,0.1652,0.1667,132316777.8
2026-07-11,0.1667,0.1745,0.1656,0.1658,92679363.2
2026-07-12,0.1657,0.1665,0.161,0.1621,74162744.0
2026-07-13,0.1621,0.1644,0.1554,0.1576,90393592.0
2026-07-14,0.1575,0.1682,0.156,0.1656,120952366.2
2026-07-15,0.1656,0.1694,0.162,0.1651,110944930.0
2026-07-16,0.1651,0.1664,0.1599,0.1609,81417110.9
2026-07-17,0.1609,0.1676,0.1578,0.1667,148356568.3
2026-07-18,0.1667,0.1693,0.1635,0.1667,83777166.9
2026-07-19,0.1667,0.1688,0.1639,0.1663,42410921.1
