Date,Open,High,Low,Close,Volume
2026-05-06,630.41,664.26,628.97,647.74,241695.256
2026-05-07,647.74,653.49,633.68,637.02,144173.809
2026-05-08,637.02,651.53,634.76,649.36,107752.676
2026-05-09,649.37,656.0,646.23,649.75,98352.892
2026-05-10,649.76,666.66,644.84,663.55,119277.217
2026-05-11,663.56,673.0,649.46,670.6,183665.245
2026-05-12,670.6,671.47,650.49,664.95,161617.089
2026-05-13,664.95,685.68,663.77,671.68,226062.768
2026-05-14,671.68,687.66,665.42,678.27,159800.03
2026-05-15,678.28,689.98,669.16,672.38,166504.371
2026-05-16,672.37,674.92,650.7,656.2,129778.336
2026-05-17,656.2,657.6,640.01,649.48,95811.952
2026-05-18,649.48,649.7,634.3,643.53,126181.22
2026-05-19,643.53,647.19,636.1,640.02,80953.937
2026-05-20,640.03,651.77,637.52,649.5,82942.653
2026-05-21,649.5,659.82,646.33,658.58,103055.678
2026-05-22,658.58,664.2,648.31,650.44,123907.62
2026-05-23,650.45,663.93,635.29,656.26,113009.638
2026-05-24,656.26,662.6,649.68,656.57,73668.177
2026-05-25,656.58,673.07,655.76,663.15,114244.753
2026-05-26,663.15,668.01,653.45,656.43,122333.282
2026-05-27,656.43,659.9,646.57,648.84,101737.594
2026-05-28,648.83,649.38,628.22,638.24,145257.685
2026-05-29,638.23,645.0,630.86,643.1,115255.263
2026-05-30,643.11,729.0,642.66,718.74,566380.966
2026-05-31,718.74,745.74,703.0,710.55,380165.732
2026-06-01,710.54,729.57,674.07,693.1,533342.526
2026-06-02,693.1,695.51,642.47,650.69,310137.34
2026-06-03,650.7,657.51,616.21,620.63,300913.443
2026-06-04,620.63,624.57,588.1,604.53,401431.765
2026-06-05,604.5,608.0,556.46,572.22,534838.035
2026-06-06,572.17,584.43,559.68,574.53,226190.523
2026-06-07,574.54,610.54,573.6,604.44,192844.362
2026-06-08,604.44,610.44,591.55,601.86,121475.506
2026-06-09,601.86,605.68,583.84,593.44,134636.725
2026-06-10,593.44,598.52,580.68,586.53,114846.002
2026-06-11,586.51,607.33,586.51,605.76,115805.929
2026-06-12,605.77,613.39,596.58,603.83,105336.327
2026-06-13,603.84,612.33,599.33,609.65,73491.153
2026-06-14,609.66,617.24,602.79,616.79,122027.611
2026-06-15,616.79,632.9,612.66,617.87,170537.642
2026-06-16,617.87,619.5,601.33,604.94,192189.417
2026-06-17,604.94,612.5,595.11,601.63,169384.189
2026-06-18,601.63,604.31,573.0,578.48,151568.812
2026-06-19,578.48,583.29,570.82,581.42,94343.191
2026-06-20,581.41,589.43,580.12,588.03,84540.17
2026-06-21,588.03,592.56,583.6,584.23,63361.252
2026-06-22,584.23,602.31,584.07,590.15,105431.63
2026-06-23,590.14,592.83,570.57,578.08,108854.882
2026-06-24,578.09,582.21,546.6,564.67,160907.998
2026-06-25,564.66,572.72,540.6,560.62,156267.916
2026-06-26,560.63,570.34,550.37,567.64,186203.407
2026-06-27,567.65,568.66,554.53,557.2,81411.91
2026-06-28,557.19,558.89,545.62,551.07,76867.857
2026-06-29,551.07,563.16,546.17,559.52,105794.124
2026-06-30,559.51,560.4,543.68,546.52,106315.52
2026-07-01,546.52,559.55,537.25,550.44,162073.172
2026-07-02,550.45,567.17,546.21,558.96,152316.814
2026-07-03,558.95,575.21,556.99,573.81,104658.991
2026-07-04,573.81,578.82,568.7,575.37,96714.134
2026-07-05,575.38,593.47,568.19,589.87,132836.834
2026-07-06,589.88,593.1,570.12,586.01,140805.495
2026-07-07,586.02,587.92,575.28,576.82,93068.489
2026-07-08,576.83,579.0,560.4,568.66,99416.988
2026-07-09,568.66,577.15,565.48,568.72,85621.609
2026-07-10,568.73,578.31,568.02,575.43,87506.374
2026-07-11,575.44,583.01,573.06,574.65,65716.339
2026-07-12,574.65,584.63,570.13,573.91,81716.052
2026-07-13,573.91,579.89,562.37,567.49,76725.123
2026-07-14,567.5,584.64,566.74,581.87,123235.186
