Date,Open,High,Low,Close,Volume
2026-05-06,86.29,90.03,86.1,89.16,3483256.03
2026-05-07,89.16,90.44,87.63,88.42,2892180.501
2026-05-08,88.43,92.8,87.6,92.01,2644434.859
2026-05-09,92.02,94.17,91.85,93.13,1974272.696
2026-05-10,93.12,97.0,92.6,96.47,2559168.995
2026-05-11,96.46,98.41,94.3,97.37,3078049.965
2026-05-12,97.37,97.68,93.55,94.28,2810037.359
2026-05-13,94.28,95.99,90.27,91.17,3192571.802
2026-05-14,91.17,93.68,89.82,92.15,2709125.808
2026-05-15,92.16,92.66,88.55,89.24,2675843.631
2026-05-16,89.23,89.44,85.52,86.54,1963021.594
2026-05-17,86.53,87.29,83.5,85.24,1914165.244
2026-05-18,85.23,85.8,83.5,85.38,2771861.344
2026-05-19,85.38,85.97,83.7,84.29,1662986.216
2026-05-20,84.3,87.09,83.85,86.17,2365152.438
2026-05-21,86.17,88.0,85.32,87.36,2654321.9
2026-05-22,87.35,87.85,84.0,84.4,2208484.663
2026-05-23,84.4,87.5,81.5,85.75,2973101.711
2026-05-24,85.76,87.0,83.7,85.27,2086657.403
2026-05-25,85.27,86.52,84.71,85.06,1562235.465
2026-05-26,85.06,86.13,83.15,83.72,2358777.43
2026-05-27,83.73,84.84,82.1,82.44,2119456.363
2026-05-28,82.43,83.01,80.0,82.11,2306915.48
2026-05-29,82.12,83.24,80.35,82.04,2064277.646
2026-05-30,82.04,83.17,81.86,82.73,1018490.244
2026-05-31,82.74,83.42,81.33,82.44,993880.666
2026-06-01,82.45,83.1,79.11,81.28,2309147.396
2026-06-02,81.28,81.3,72.73,74.23,3642536.917
2026-06-03,74.23,75.71,70.93,71.61,3655245.68
2026-06-04,71.61,72.09,66.8,68.88,4928249.49
2026-06-05,68.87,69.1,61.48,63.64,7041593.488
2026-06-06,63.64,64.86,60.13,62.2,3570841.056
2026-06-07,62.21,67.92,61.96,66.5,2941571.373
2026-06-08,66.5,68.17,64.98,66.82,3058995.367
2026-06-09,66.82,67.47,63.54,64.96,3082150.311
2026-06-10,64.97,65.77,62.34,63.19,2937917.561
2026-06-11,63.19,67.42,63.19,66.93,2881561.031
2026-06-12,66.93,68.82,65.95,66.82,2839586.683
2026-06-13,66.83,69.59,66.59,68.94,1525014.5
2026-06-14,68.94,71.29,66.94,71.28,1851821.931
2026-06-15,71.29,76.09,70.66,73.98,3102777.468
2026-06-16,73.99,75.65,72.29,73.52,2185905.595
2026-06-17,73.53,74.69,70.83,72.05,2443239.391
2026-06-18,72.05,72.68,68.23,69.71,2263712.329
2026-06-19,69.72,70.09,67.92,69.74,1884570.868
2026-06-20,69.73,74.3,69.48,73.22,2267614.627
2026-06-21,73.22,74.68,72.31,72.46,2122685.618
2026-06-22,72.47,75.0,71.37,71.95,2567224.067
2026-06-23,71.95,72.06,68.16,69.71,2202519.285
2026-06-24,69.7,70.44,64.71,68.11,3368667.529
2026-06-25,68.12,69.66,64.04,67.72,3716901.281
2026-06-26,67.72,73.93,65.91,71.9,4422868.716
2026-06-27,71.9,73.19,70.25,70.5,1921832.56
2026-06-28,70.49,72.41,69.74,71.38,1709274.918
2026-06-29,71.39,76.49,70.35,75.16,3861722.1
2026-06-30,75.17,75.8,71.9,73.67,2668784.103
2026-07-01,73.67,78.96,72.25,77.46,3613325.296
2026-07-02,77.46,82.78,76.9,80.73,3740503.81
2026-07-03,80.72,83.22,80.34,82.34,1769217.383
2026-07-04,82.35,83.98,81.36,81.8,1853790.462
2026-07-05,81.8,82.43,79.68,81.59,1405482.139
2026-07-06,81.59,83.74,79.23,81.94,2393607.64
2026-07-07,81.94,82.79,80.34,80.58,1858989.517
2026-07-08,80.58,80.78,76.29,77.83,2171403.36
2026-07-09,77.83,78.83,76.71,78.04,1458437.834
2026-07-10,78.05,79.68,77.07,78.13,1853732.075
2026-07-11,78.14,78.88,76.77,76.79,1341468.467
2026-07-12,76.79,77.78,75.65,76.92,1107014.96
2026-07-13,76.92,78.2,74.1,75.01,1598648.362
2026-07-14,75.02,77.95,74.56,77.87,1797979.602
2026-07-15,77.87,79.04,76.94,77.29,1789391.588
2026-07-16,77.28,77.64,75.01,75.32,1525454.678
2026-07-17,75.33,75.75,73.39,75.04,1361493.075
2026-07-18,75.04,75.67,74.5,75.52,651011.695
2026-07-19,75.53,76.7,75.37,76.38,1176910.446
2026-07-20,76.38,78.38,75.5,77.85,1867200.851
2026-07-21,77.85,78.88,77.42,78.12,1283561.32
2026-07-22,78.13,78.85,77.0,77.97,1424652.173
2026-07-23,77.97,78.54,75.43,75.88,1346651.926
2026-07-24,75.88,76.45,73.44,73.96,1450088.265
2026-07-25,73.97,74.73,73.56,74.52,726815.749
2026-07-26,74.53,77.1,74.47,76.76,892413.373
2026-07-27,76.77,77.5,73.74,74.2,1608273.931
2026-07-28,74.21,74.59,72.36,73.83,1697225.448
2026-07-29,73.83,74.53,72.32,73.68,1597653.875
2026-07-30,73.69,74.99,73.14,74.51,1218863.451
2026-07-31,74.52,75.29,72.56,72.87,1337998.051
2026-08-01,72.87,73.21,70.58,71.95,1111519.095
2026-08-02,71.95,74.33,71.93,73.63,845346.938
2026-08-03,73.64,74.28,71.98,73.56,1227842.329
2026-08-04,73.56,74.45,73.04,73.75,1198568.943
2026-08-05,73.76,74.83,73.27,74.04,1549828.637
2026-08-06,74.04,74.35,72.34,72.7,1276204.923
2026-08-07,72.7,74.35,72.43,73.66,1552676.887
2026-08-08,73.67,76.81,73.57,76.01,1383412.487
2026-08-09,76.02,77.84,75.73,76.27,980767.674
2026-08-10,76.26,77.17,75.58,75.99,1278238.355
2026-08-11,76.0,76.67,74.63,76.3,1315794.682
2026-08-12,76.3,77.33,75.35,75.63,1154149.214
2026-08-13,75.64,76.62,75.48,75.97,512059.863
